Género	Unisex
Material del marco	Aluminio
Número de cambios	24
Tipo de freno	Disco mecánico
Suspensión	Doble
Rin	29 pulgadas
Marca	Kawasaki
Modelo	NINJA 1929NJ1
Descripción de freno	Freno de Disco Delantero y Trasero
Tipo	Bicicletas de montaña
Descripción de marco	Aluminio
Cambio delantero	Shimano TY300
Cambio trasero	Shimano TX800
Biela	Aluminio
Manubrio	Aluminio
Horquilla	Aluminio
Pedal	Plástico
Asiento	Ergonómico Antiprostático
Neumáticos	Kenda 29x2.2
Peso del producto	16 kg
precio $ 2.999.990
