Género	Unisex
Material del marco	Carbono
Número de cambios	27
Tipo de freno	Disco hidráulico
Suspensión	Delantera
Rin	29 pulgadas
Marca	Kawasaki
Modelo	EPIC 1929CB1
Descripción de freno	Freno de Disco Tektro
Tipo	Bicicletas de montaña
Descripción de marco	Carbono
Cambio delantero	Shimano Acera
Cambio trasero	Shimano Acera
Biela	Aluminio
Manubrio	Aluminio
Descripción de suspensión	Suntour XCT
Pedal	Plástico
Asiento	DDK
Neumáticos	Kenda 29x2.0
Peso del producto	14 kg
precio $ 4.499.990
